ED1,ED2,APRESENTAÇÃO,AT-JASP,"AT1 (3,0)","TP1 (7,0)","AP1 (10,0)",ED3,ED4,AT-QUALI,"AT2 (3,0)","TP2 (7,0)","AP2 (10,0)",MÉDIA
False,True,TP1,True,"2,5","5,1","7,6",True,True,True,"3,0","5,3","8,3","7,9"
True,True,ED1,False,"2,5","5,3","7,8",True,True,True,"3,0","4,9","7,9","7,8"
True,True,ED2,False,"2,5","7,0","9,5",True,True,True,"3,0","6,0","9,0","9,3"
True,True,TP1,False,"2,5","6,3","8,8",True,True,False,"2,5","6,0","8,5","8,7"
True,True,ED1,False,"2,5","5,1","7,6",True,True,True,"3,0","6,6","9,6","8,6"
True,True,ED1,False,"2,5","5,1","7,6",True,True,True,"3,0","6,6","9,6","8,6"
True,True,ED2,False,"2,5","7,0","9,5",True,True,True,"3,0","5,6","8,6","9,1"
True,True,TP1,False,"2,5","7,0","9,5",True,True,True,"3,0","6,4","9,4","9,4"
True,False,ED1,False,2,"7,0","9,0",True,True,True,"3,0","6,4","9,4","9,2"
True,False,ED3,False,2,"6,3","8,3",True,True,True,"3,0","6,5","9,5","8,9"
True,True,,True,"2,5","7,0","9,5",True,True,True,"2,5","6,6","9,1","9,3"
False,True,,False,1,"5,3","6,3",True,True,False,"2,0","4,9","6,9","6,6"
True,True,ED2,True,3,"7,0","10,0",True,True,True,"3,0","6,6","9,6","9,8"
True,True,ED2,False,"2,5","7,0","9,5",True,True,True,"3,0","6,0","9,0","9,3"
False,False,,False,0,,0,False,False,False,,,"0,0","0,0"
True,True,ED2,True,3,"7,0","10,0",True,True,False,"2,5","6,6","9,1","9,6"
True,True,TP1+ED4,False,"2,5","6,0","8,5",True,True,True,"3,0","6,4","9,4","8,9"
True,True,ED3,False,"2,5","6,3","8,8",True,True,True,"3,0","6,5","9,5","9,2"
True,True,ED1,True,3,"7,0","10,0",True,True,True,"3,0","6,5","9,5","9,8"
True,True,ED4,True,3,"7,0","10,0",True,True,True,"3,0","6,6","9,6","9,8"
True,True,ED3,True,3,"4,2","7,2",True,True,True,"3,0","5,1","8,1","7,7"
False,False,ED4,False,1,"6,8","7,8",True,True,False,"2,5","4,9","7,4","7,6"
True,True,ED1,True,3,"7,0","10,0",True,True,True,"3,0","6,5","9,5","9,8"
False,False,,False,0,,0,False,False,False,,,"0,0","0,0"
True,True,ED2,False,"2,5","7,0","9,5",True,True,True,"3,0","5,6","8,6","9,1"
True,True,ED2,False,"2,5","7,0","9,5",True,True,True,"3,0","5,6","8,6","9,1"
